id;date;value
Arthur Ashe;01-07-89;3
Arthur Ashe;01-09-89;3
Arthur Ashe;01-01-90;3
Arthur Ashe;01-06-90;3
Arthur Ashe;01-07-90;3
Arthur Ashe;01-09-90;3
Arthur Ashe;01-01-91;3
Arthur Ashe;01-06-91;3
Arthur Ashe;01-07-91;3
Arthur Ashe;01-09-91;3
Arthur Ashe;01-01-92;3
Arthur Ashe;01-06-92;3
Arthur Ashe;01-07-92;3
Arthur Ashe;01-09-92;3
Arthur Ashe;01-01-93;3
Arthur Ashe;01-06-93;3
Arthur Ashe;01-07-93;3
Arthur Ashe;01-09-93;3
Arthur Ashe;01-01-94;3
Arthur Ashe;01-06-94;3
Arthur Ashe;01-07-94;3
Arthur Ashe;01-09-94;3
Arthur Ashe;01-01-95;3
Arthur Ashe;01-06-95;3
Arthur Ashe;01-07-95;3
Arthur Ashe;01-09-95;3
Arthur Ashe;01-01-96;3
Arthur Ashe;01-06-96;3
Arthur Ashe;01-07-96;3
Arthur Ashe;01-09-96;3
Arthur Ashe;01-01-97;3
Arthur Ashe;01-06-97;3
Arthur Ashe;01-07-97;3
Arthur Ashe;01-09-97;3
Arthur Ashe;01-01-98;3
Arthur Ashe;01-06-98;3
Arthur Ashe;01-07-98;3
Arthur Ashe;01-09-98;3
Arthur Ashe;01-01-99;3
Arthur Ashe;01-06-99;3
Arthur Ashe;01-07-99;3
Arthur Ashe;01-09-99;3
Arthur Ashe;01-01-00;3
Arthur Ashe;01-06-00;3
Arthur Ashe;01-07-00;3
Arthur Ashe;01-09-00;3
Arthur Ashe;01-01-01;3
Arthur Ashe;01-06-01;3
Arthur Ashe;01-07-01;3
Arthur Ashe;01-09-01;3
Arthur Ashe;01-01-02;3
Arthur Ashe;01-06-02;3
Arthur Ashe;01-07-02;3
Arthur Ashe;01-09-02;3
Arthur Ashe;01-01-03;3
Arthur Ashe;01-06-03;3
Arthur Ashe;01-07-03;3
Arthur Ashe;01-09-03;3
Arthur Ashe;01-01-04;3
Arthur Ashe;01-06-04;3
Arthur Ashe;01-07-04;3
Arthur Ashe;01-09-04;3
Arthur Ashe;01-01-05;3
Arthur Ashe;01-06-05;3
Arthur Ashe;01-07-05;3
Arthur Ashe;01-09-05;3
Arthur Ashe;01-01-06;3
Arthur Ashe;01-06-06;3
Arthur Ashe;01-07-06;3
Arthur Ashe;01-09-06;3
Arthur Ashe;01-01-07;3
Arthur Ashe;01-06-07;3
Arthur Ashe;01-07-07;3
Arthur Ashe;01-09-07;3
Arthur Ashe;01-01-08;3
Arthur Ashe;01-06-08;3
Arthur Ashe;01-07-08;3
Arthur Ashe;01-09-08;3
Arthur Ashe;01-01-09;3
Arthur Ashe;01-06-09;3
